SBU,Year,Country,Sold-to Code (Number version),# Products,Net Sales (EUR),Base Quantity (Volume-tons)
APF,2018,Brazil,929400,4,882687.42,69.4512
APF,2018,Brazil,930959,2,56262.09,3.654
APF,2018,Brazil,936901,10,253170.67,19.05064
APF,2018,Brazil,938887,8,106757.46,8.0788
APF,2018,Brazil,938889,8,898.3,0
APF,2018,Brazil,952048,5,14064.2,0.7748
APF,2018,Brazil,1029680,28,239094.31,13.4592
APF,2018,Brazil,1029690,9,492413.8,22.4906
APF,2018,Brazil,1029698,10,20785.35,3.759
APF,2018,Brazil,1029735,10,1036.81,0
APF,2018,Brazil,1029753,8,102632.76,4.72156
APF,2018,Brazil,1029822,4,316158.57,7.2364
APF,2018,Brazil,1029859,9,-1220.74,0
APF,2018,Brazil,1030008,5,5566.01,0.228
APF,2018,Brazil,1030047,1,59.21,0
APF,2018,Brazil,1030084,3,264703.65,20.2144
APF,2018,Brazil,1030163,6,-375.52,0
APF,2018,Brazil,1030166,24,72726.24,3.57
APF,2018,Brazil,1030194,16,355750.99,18.5966
APF,2018,Brazil,1030235,22,257407.49,30.075
APF,2018,Brazil,1030243,14,503508.19,15.03944
APF,2018,Brazil,1030246,15,38972.63,2.04712
APF,2018,Brazil,1030289,39,600045.77,30.77928
APF,2018,Brazil,1030293,2,153621.37,8.58
APF,2018,Brazil,1030318,4,-770.55,0
APF,2018,Brazil,1030368,8,1176.85,0
APF,2018,Brazil,1030408,22,275081.97,14.87724
APF,2018,Brazil,1030505,10,62612.52,3.36988
APF,2018,Brazil,1030547,10,358078.36,13.64316
APF,2018,Brazil,1030625,5,0,0
APF,2018,Brazil,1030689,22,746469.86,36.9328
APF,2018,Brazil,1030702,9,193477.44,9.4476
APF,2018,Brazil,1030707,22,1462320.97,159.0812
APF,2018,Brazil,1030766,4,260023.61,15.97112
APF,2018,Brazil,1030796,4,-577.8,0
APF,2018,Brazil,1030827,11,82122.09,4.85048
APF,2018,Brazil,1030828,19,148354.15,11.574
APF,2018,Brazil,1030869,2,1408.22,0.18256
APF,2018,Brazil,1030970,29,475587.28,61.32788
APF,2018,Brazil,1031008,22,63061.69,3.586
APF,2018,Brazil,1031028,4,119973.31,5.32112
APF,2018,Brazil,1031031,10,67439.94,5.23756
APF,2018,Brazil,1031035,4,31276.52,1.395
APF,2018,Brazil,1031066,17,127084.14,4.92
APF,2018,Brazil,1031093,16,283649.64,14.9504
APF,2018,Brazil,1031095,5,121320.18,4.47544
APF,2018,Brazil,1031109,11,396660.28,20.64448
APF,2018,Brazil,1031151,26,326487.5,26.295
APF,2018,Brazil,1031157,28,2063652.06,131.97952
APF,2018,Brazil,1031191,23,82215.48,4.8638
APF,2018,Brazil,1031199,4,146967,8.11388
APF,2018,Brazil,1031225,6,340.73,0
APF,2018,Brazil,1031226,8,919.38,0
APF,2018,Brazil,1031232,6,23502.56,2.36456
APF,2018,Brazil,1031238,4,-23154.41,0
APF,2018,Brazil,1031241,18,117516.66,5.234
APF,2018,Brazil,1031254,14,123989.66,10.88568
APF,2018,Brazil,1031258,7,699.65,0
APF,2018,Brazil,1031265,13,240574.79,8.86404
APF,2018,Brazil,1031275,8,71565.93,4.15088
APF,2018,Brazil,1031301,18,532931.45,37.45596
APF,2018,Brazil,1031304,1,62879.41,2.583
APF,2018,Brazil,1031315,5,192420.88,15.24368
APF,2018,Brazil,1031316,16,644305.33,36.1912
APF,2018,Brazil,1031323,19,692057.03,42.72704
APF,2018,Brazil,1031408,7,3011.35,0
APF,2018,Brazil,1031473,23,279745.82,31.125
APF,2018,Brazil,1031516,15,442097.16,11.10456
APF,2018,Brazil,1031517,9,38276.31,3.71856
APF,2018,Brazil,1031568,23,277855.34,19.05
APF,2018,Brazil,1031594,3,72917.81,3.25164
APF,2018,Brazil,1031604,16,308891.84,16.8354
APF,2018,Brazil,1031614,9,43027.05,2.51764
APF,2018,Brazil,1031618,14,111499.05,8.4096
APF,2018,Brazil,1031635,16,813323.8,31.41216
APF,2018,Brazil,1031642,5,15257.88,0.864
APF,2018,Brazil,1031648,5,-13.97,0
APF,2018,Brazil,1031654,4,244592.15,9.2328
APF,2018,Brazil,1031682,13,480921.94,16.02408
APF,2018,Brazil,1031684,26,723210.44,51.051
APF,2018,Brazil,1031708,1,0,0
APF,2018,Brazil,1031733,5,29904.69,2.422
APF,2018,Brazil,1031764,14,1373.68,0
APF,2018,Brazil,1031790,8,4044.58,0
APF,2018,Brazil,1031961,15,184972.76,28.41
APF,2018,Brazil,1031966,10,621,0
APF,2018,Brazil,1031982,10,6019.88,0
APF,2018,Brazil,1032055,4,199802.33,8.5992
APF,2018,Brazil,1032088,3,889.72,0
APF,2018,Brazil,1032101,19,236516.77,20.192
APF,2018,Brazil,1032104,4,-4395.85,0
APF,2018,Brazil,1032210,12,1278.87,0
APF,2018,Brazil,1032359,42,78699.86,19.42612
APF,2018,Brazil,1032423,15,5400892.78,317.1424
APF,2018,Brazil,1032487,20,18516.78,0.67114
APF,2018,Brazil,1032535,33,303814,7.24206
APF,2018,Brazil,1032574,30,0,1.0759
APF,2018,Brazil,1032625,33,1718282.04,105.3846
APF,2018,Brazil,1032738,33,290457.6,22.04548
APF,2018,Brazil,1032762,32,145788.92,16.73524
APF,2018,Brazil,1032838,36,870380.12,63.89975
APF,2018,Brazil,1033027,23,733736.32,46.901
